"county","tract","cntyname","intptlon","intptlat","pop10","afact"
"County code","Tract","County name","Wtd centroid W longitude, degrees","Wtd centroid latitude, degrees","Total population (2010)","tract to tract allocation factor"
"11001","0001.00","District of Columbia DC",-77.058857,38.909434,4890,1 
"11001","0002.01","District of Columbia DC",-77.075216,38.909223,3916,1 
"11001","0002.02","District of Columbia DC",-77.068127,38.908028,5425,1 
"11001","0003.00","District of Columbia DC",-77.075833,38.918477,6233,1 
"11001","0004.00","District of Columbia DC",-77.066702,38.923157,1455,1 
"11001","0005.01","District of Columbia DC",-77.053717,38.925509,3376,1 
"11001","0005.02","District of Columbia DC",-77.057687,38.928498,3189,1 
"11001","0006.00","District of Columbia DC",-77.06607,38.936614,4539,1 
"11001","0007.01","District of Columbia DC",-77.076022,38.929285,4620,1 
"11001","0007.02","District of Columbia DC",-77.077303,38.92408,3364,1 
"11001","0008.01","District of Columbia DC",-77.087021,38.928288,6709,1 
"11001","0008.02","District of Columbia DC",-77.085244,38.910608,2869,1 
"11001","0009.01","District of Columbia DC",-77.09655,38.937301,7175,1 
"11001","0009.02","District of Columbia DC",-77.104037,38.927788,2092,1 
"11001","0010.01","District of Columbia DC",-77.087999,38.94896,7436,1 
"11001","0010.02","District of Columbia DC",-77.078528,38.938056,3442,1 
"11001","0011.00","District of Columbia DC",-77.07784,38.959127,4779,1 
"11001","0012.00","District of Columbia DC",-77.070948,38.948211,5008,1 
"11001","0013.01","District of Columbia DC",-77.064237,38.951365,3955,1 
"11001","0013.02","District of Columbia DC",-77.057213,38.940028,6857,1 
"11001","0014.01","District of Columbia DC",-77.070745,38.96434,3078,1 
"11001","0014.02","District of Columbia DC",-77.065451,38.960334,2998,1 
"11001","0015.00","District of Columbia DC",-77.060616,38.972657,5911,1 
"11001","0016.00","District of Columbia DC",-77.035159,38.984725,3957,1 
"11001","0017.02","District of Columbia DC",-77.016494,38.972264,2644,1 
"11001","0018.03","District of Columbia DC",-77.034947,38.966521,3514,1 
"11001","0018.04","District of Columbia DC",-77.03081,38.96658,4480,1 
"11001","0019.01","District of Columbia DC",-77.022942,38.964947,4016,1 
"11001","0019.02","District of Columbia DC",-77.016431,38.96304,1969,1 
"11001","0020.01","District of Columbia DC",-77.033639,38.959527,2340,1 
"11001","0020.02","District of Columbia DC",-77.030436,38.953833,3813,1 
"11001","0021.01","District of Columbia DC",-77.023743,38.955896,5309,1 
"11001","0021.02","District of Columbia DC",-77.014481,38.955538,4648,1 
"11001","0022.01","District of Columbia DC",-77.023474,38.949285,3442,1 
"11001","0022.02","District of Columbia DC",-77.015525,38.949632,3087,1 
"11001","0023.01","District of Columbia DC",-77.016449,38.942545,2974,1 
"11001","0023.02","District of Columbia DC",-77.008884,38.93354,2036,1 
"11001","0024.00","District of Columbia DC",-77.022404,38.941253,3618,1 
"11001","0025.01","District of Columbia DC",-77.032219,38.94487,2554,1 
"11001","0025.02","District of Columbia DC",-77.030576,38.938912,5973,1 
"11001","0026.00","District of Columbia DC",-77.041193,38.943071,2166,1 
"11001","0027.01","District of Columbia DC",-77.039345,38.934815,5233,1 
"11001","0027.02","District of Columbia DC",-77.039828,38.930102,5226,1 
"11001","0028.01","District of Columbia DC",-77.03436,38.934882,3773,1 
"11001","0028.02","District of Columbia DC",-77.03448,38.92933,4277,1 
"11001","0029.00","District of Columbia DC",-77.029747,38.933873,3962,1 
"11001","0030.00","District of Columbia DC",-77.030267,38.928705,3398,1 
"11001","0031.00","District of Columbia DC",-77.025705,38.930207,2885,1 
"11001","0032.00","District of Columbia DC",-77.021296,38.9322,4913,1 
"11001","0033.01","District of Columbia DC",-77.011953,38.918777,3198,1 
"11001","0033.02","District of Columbia DC",-77.01113,38.913875,2134,1 
"11001","0034.00","District of Columbia DC",-77.016985,38.919587,4347,1 
"11001","0035.00","District of Columbia DC",-77.024674,38.922427,3740,1 
"11001","0036.00","District of Columbia DC",-77.030127,38.923755,4208,1 
"11001","0037.00","District of Columbia DC",-77.034075,38.923312,5763,1 
"11001","0038.00","District of Columbia DC",-77.038863,38.921954,4614,1 
"11001","0039.00","District of Columbia DC",-77.041477,38.925571,4474,1 
"11001","0040.01","District of Columbia DC",-77.045993,38.920668,3745,1 
"11001","0040.02","District of Columbia DC",-77.043384,38.918387,2797,1 
"11001","0041.00","District of Columbia DC",-77.049469,38.915539,2708,1 
"11001","0042.01","District of Columbia DC",-77.038931,38.916152,3342,1 
"11001","0042.02","District of Columbia DC",-77.042884,38.91372,2771,1 
"11001","0043.00","District of Columbia DC",-77.03445,38.917174,3255,1 
"11001","0044.00","District of Columbia DC",-77.028029,38.917263,4572,1 
"11001","0046.00","District of Columbia DC",-77.013092,38.910038,3028,1 
"11001","0047.01","District of Columbia DC",-77.013582,38.904387,3986,1 
"11001","0047.02","District of Columbia DC",-77.014742,38.901503,1802,1 
"11001","0048.01","District of Columbia DC",-77.019751,38.911992,2143,1 
"11001","0048.02","District of Columbia DC",-77.019182,38.906602,2922,1 
"11001","0049.01","District of Columbia DC",-77.02423,38.91189,2087,1 
"11001","0049.02","District of Columbia DC",-77.02487,38.906173,2690,1 
"11001","0050.01","District of Columbia DC",-77.02983,38.911716,1955,1 
"11001","0050.02","District of Columbia DC",-77.028995,38.906585,6021,1 
"11001","0052.01","District of Columbia DC",-77.033819,38.909446,6077,1 
"11001","0053.01","District of Columbia DC",-77.038979,38.911011,5051,1 
"11001","0055.00","District of Columbia DC",-77.048957,38.907341,6671,1 
"11001","0056.00","District of Columbia DC",-77.052584,38.899688,6756,1 
"11001","0058.00","District of Columbia DC",-77.021493,38.897206,2830,1 
"11001","0059.00","District of Columbia DC",-77.015568,38.898678,2998,1 
"11001","0062.02","District of Columbia DC",-77.025807,38.893127,33,1 
"11001","0064.00","District of Columbia DC",-77.011736,38.873559,2139,1 
"11001","0065.00","District of Columbia DC",-77.002786,38.884249,2531,1 
"11001","0066.00","District of Columbia DC",-76.998329,38.888101,1909,1 
"11001","0067.00","District of Columbia DC",-76.990094,38.887583,3775,1 
"11001","0068.01","District of Columbia DC",-76.979825,38.887732,1949,1 
"11001","0068.02","District of Columbia DC",-76.981501,38.883102,2084,1 
"11001","0068.04","District of Columbia DC",-76.974781,38.883371,3670,1 
"11001","0069.00","District of Columbia DC",-76.987206,38.883817,2179,1 
"11001","0070.00","District of Columbia DC",-76.995929,38.880879,2812,1 
"11001","0071.00","District of Columbia DC",-76.987637,38.879386,2911,1 
"11001","0072.00","District of Columbia DC",-77.004237,38.878654,2794,1 
"11001","0073.01","District of Columbia DC",-77.017901,38.83928,3012,1 
"11001","0073.04","District of Columbia DC",-76.986854,38.842239,3546,1 
"11001","0074.01","District of Columbia DC",-76.99772,38.859247,2414,1 
"11001","0074.03","District of Columbia DC",-76.975174,38.848256,2859,1 
"11001","0074.04","District of Columbia DC",-76.980592,38.850527,3310,1 
"11001","0074.06","District of Columbia DC",-76.989439,38.855617,3063,1 
"11001","0074.07","District of Columbia DC",-76.986644,38.858297,2587,1 
"11001","0074.08","District of Columbia DC",-76.970106,38.852965,3038,1 
"11001","0074.09","District of Columbia DC",-76.974271,38.845645,3499,1 
"11001","0075.02","District of Columbia DC",-76.970023,38.8569,4541,1 
"11001","0075.03","District of Columbia DC",-76.986207,38.863144,2425,1 
"11001","0075.04","District of Columbia DC",-76.98049,38.861459,2451,1 
"11001","0076.01","District of Columbia DC",-76.978389,38.870421,4355,1 
"11001","0076.03","District of Columbia DC",-76.957864,38.859671,4044,1 
"11001","0076.04","District of Columbia DC",-76.966028,38.866992,3644,1 
"11001","0076.05","District of Columbia DC",-76.975047,38.865973,3447,1 
"11001","0077.03","District of Columbia DC",-76.949254,38.885666,5187,1 
"11001","0077.07","District of Columbia DC",-76.933826,38.878294,3867,1 
"11001","0077.08","District of Columbia DC",-76.95756,38.886513,2486,1 
"11001","0077.09","District of Columbia DC",-76.966062,38.875994,2007,1 
"11001","0078.03","District of Columbia DC",-76.939928,38.895514,3293,1 
"11001","0078.04","District of Columbia DC",-76.931306,38.895319,3446,1 
"11001","0078.06","District of Columbia DC",-76.931696,38.905784,2347,1 
"11001","0078.07","District of Columbia DC",-76.92036,38.899093,2139,1 
"11001","0078.08","District of Columbia DC",-76.92035,38.892819,3646,1 
"11001","0078.09","District of Columbia DC",-76.93079,38.901565,2922,1 
"11001","0079.01","District of Columbia DC",-76.980854,38.89656,3822,1 
"11001","0079.03","District of Columbia DC",-76.974406,38.896337,1774,1 
"11001","0080.01","District of Columbia DC",-76.986618,38.896169,2784,1 
"11001","0080.02","District of Columbia DC",-76.984844,38.891674,3031,1 
"11001","0081.00","District of Columbia DC",-76.992526,38.893211,2910,1 
"11001","0082.00","District of Columbia DC",-77.000098,38.891619,2918,1 
"11001","0083.01","District of Columbia DC",-77.000706,38.897299,2279,1 
"11001","0083.02","District of Columbia DC",-76.996699,38.896038,2206,1 
"11001","0084.02","District of Columbia DC",-76.991813,38.898429,2149,1 
"11001","0084.10","District of Columbia DC",-76.991437,38.90164,1489,1 
"11001","0087.01","District of Columbia DC",-77.006409,38.914697,2407,1 
"11001","0087.02","District of Columbia DC",-77.001805,38.916267,1599,1 
"11001","0088.02","District of Columbia DC",-76.986578,38.904294,4119,1 
"11001","0088.03","District of Columbia DC",-76.9893,38.910418,2037,1 
"11001","0088.04","District of Columbia DC",-76.983998,38.907513,2412,1 
"11001","0089.03","District of Columbia DC",-76.97678,38.904537,2633,1 
"11001","0089.04","District of Columbia DC",-76.974457,38.901161,3309,1 
"11001","0090.00","District of Columbia DC",-76.959905,38.925037,2732,1 
"11001","0091.02","District of Columbia DC",-76.984394,38.921963,4127,1 
"11001","0092.01","District of Columbia DC",-76.998164,38.928942,1976,1 
"11001","0092.03","District of Columbia DC",-77.004776,38.921809,2582,1 
"11001","0092.04","District of Columbia DC",-76.998356,38.92384,2557,1 
"11001","0093.01","District of Columbia DC",-76.986333,38.930849,3143,1 
"11001","0093.02","District of Columbia DC",-76.99066,38.925201,1189,1 
"11001","0094.00","District of Columbia DC",-76.974622,38.935699,4163,1 
"11001","0095.01","District of Columbia DC",-77.003694,38.942754,5797,1 
"11001","0095.03","District of Columbia DC",-76.985067,38.944586,2910,1 
"11001","0095.04","District of Columbia DC",-76.993366,38.940887,3025,1 
"11001","0095.05","District of Columbia DC",-77.003899,38.962257,2630,1 
"11001","0095.07","District of Columbia DC",-76.996962,38.958627,1489,1 
"11001","0095.08","District of Columbia DC",-76.996918,38.954655,3290,1 
"11001","0095.09","District of Columbia DC",-76.994139,38.949249,2940,1 
"11001","0096.01","District of Columbia DC",-76.939416,38.909945,2445,1 
"11001","0096.02","District of Columbia DC",-76.949312,38.903666,3280,1 
"11001","0096.03","District of Columbia DC",-76.946969,38.89141,3373,1 
"11001","0096.04","District of Columbia DC",-76.95808,38.892918,1962,1 
"11001","0097.00","District of Columbia DC",-76.989327,38.833816,3177,1 
"11001","0098.01","District of Columbia DC",-76.995533,38.833524,1575,1 
"11001","0098.02","District of Columbia DC",-76.996305,38.830769,1693,1 
"11001","0098.03","District of Columbia DC",-77.004256,38.835602,2758,1 
"11001","0098.04","District of Columbia DC",-76.997719,38.841157,2473,1 
"11001","0098.07","District of Columbia DC",-77.010361,38.827058,3072,1 
"11001","0098.10","District of Columbia DC",-77.004395,38.82787,2507,1 
"11001","0098.11","District of Columbia DC",-76.998224,38.826882,4365,1 
"11001","0099.01","District of Columbia DC",-76.957974,38.872617,2249,1 
"11001","0099.02","District of Columbia DC",-76.944824,38.867951,2905,1 
"11001","0099.03","District of Columbia DC",-76.92066,38.888321,1851,1 
"11001","0099.04","District of Columbia DC",-76.930769,38.884916,2243,1 
"11001","0099.05","District of Columbia DC",-76.9253,38.884242,2795,1 
"11001","0099.06","District of Columbia DC",-76.935951,38.887729,1296,1 
"11001","0099.07","District of Columbia DC",-76.938452,38.882388,2836,1 
"11001","0101.00","District of Columbia DC",-77.031359,38.90396,2621,1 
"11001","0102.00","District of Columbia DC",-77.020226,38.879401,2324,1 
"11001","0103.00","District of Columbia DC",-77.025842,38.976627,3187,1 
"11001","0104.00","District of Columbia DC",-77.000358,38.846336,4365,1 
"11001","0105.00","District of Columbia DC",-77.014616,38.880168,3410,1 
"11001","0106.00","District of Columbia DC",-76.999321,38.903013,3933,1 
"11001","0107.00","District of Columbia DC",-77.045591,38.905374,1838,1 
"11001","0108.00","District of Columbia DC",-77.046785,38.89784,6408,1 
"11001","0109.00","District of Columbia DC",-77.010828,38.819046,3211,1 
"11001","0110.00","District of Columbia DC",-77.017158,38.874167,3715,1 
"11001","0111.00","District of Columbia DC",-76.970288,38.924928,4859,1 
